日期,标题,分数
0212am,钟南山：新型冠状病毒肺炎疫情有望4月前结束.txt,75.47182303
0212am,湖北省卫健委党组书记主任双双被免职.txt,162.7835249
0212am,对全国疫情防控 习近平再作部署.txt,20.64799267
0212pm,WHO最新报告：新冠病毒与菊头蝠冠状病毒有关联.txt,136.6630982
0212pm,曾光预测：疫情下降拐点已出现 但还潜藏上升拐点.txt,61.98006583
0212pm,中共中央政治局常务委员会召开会议 分析新冠肺炎疫情形势.txt,367.7910558
0212pm,湖北省卫健委党组书记主任双双被免职.txt,162.7835249
0212pm,对全国疫情防控 习近平再作部署.txt,20.64799267
0213am,WHO最新报告：新冠病毒与菊头蝠冠状病毒有关联.txt,136.6630982
0213am,曾光预测：疫情下降拐点已出现 但还潜藏上升拐点.txt,61.98006583
0213am,中共中央政治局常务委员会召开会议 分析新冠肺炎疫情形势.txt,367.7910558
0213am,湖北新增14840例新冠肺炎 累计48206例.txt,53.02792377
0213pm,WHO最新报告：新冠病毒与菊头蝠冠状病毒有关联.txt,136.6630982
0213pm,曾光预测：疫情下降拐点已出现 但还潜藏上升拐点.txt,61.98006583
0213pm,中共中央政治局常务委员会召开会议 分析新冠肺炎疫情形势.txt,367.7910558
0213pm,湖北、武汉一把手同时调整 释放了什么信号.txt,292.2495228
0214am,湖北、武汉一把手同时调整 释放了什么信号.txt,292.2495228
0214pm,国家卫健委专家曾光：武汉再挺一下 就打翻身仗了.txt,168.3471613
0214pm,湖北、武汉一把手同时调整 释放了什么信号.txt,292.2495228
0215am,侠客岛：湖北多地实施“战时管制” 为什么？.txt,292.9628136
0215am,国家卫健委专家曾光：武汉再挺一下 就打翻身仗了.txt,168.3471613
0215am,网友质疑医疗防护物资分配比例失调 武汉官方回应.txt,67.02581968
0215pm,国家卫健委专家曾光：武汉再挺一下 就打翻身仗了.txt,168.3471613
0215pm,国新办发布会开到武汉 王贺胜新身份首次亮相.txt,137.2753877
0215pm,立足当前放眼长远 习近平周密部署战“疫”.txt,11.81736812
0215pm,美媒追问湖北为何换帅 我大使回应.txt,941.7407629
0216am,武汉病毒所研究生系“零号病人”？石正丽回应.txt,41.69362476
0216am,国新办发布会开到武汉 王贺胜新身份首次亮相.txt,137.2753877
